"LOCATION","Country","VARIABLE","Variable","SCENARIO","Scenario","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2020","2020",2087025711874.59,,
"AUS","Australia","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2023","2023",2231985905522.34,,
"AUS","Australia","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2030","2030",2649569000000,,
"AUS","Australia","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2040","2040",3438025000000,,
"AUS","Australia","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2050","2050",4456011000000,,
"AUS","Australia","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2060","2060",5673345000000,,
"AUS","Australia","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2020","2020",1243168982189.71,,
"AUS","Australia","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2023","2023",1329516752305.69,,
"AUS","Australia","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2030","2030",1578256000000,,
"AUS","Australia","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2040","2040",2047912000000,,
"AUS","Australia","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2050","2050",2654292000000,,
"AUS","Australia","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2060","2060",3379415000000,,
"AUS","Australia","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2020","2020",48641.6401850399,,
"AUS","Australia","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2023","2023",50207.8971966993,,
"AUS","Australia","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2030","2030",53472.5,,
"AUS","Australia","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2040","2040",61568.95,,
"AUS","Australia","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2050","2050",71993.85,,
"AUS","Australia","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2060","2060",83875.03,,
"AUS","Australia","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2020","2020",65.838426517742,,
"AUS","Australia","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2023","2023",57.2908925667305,,
"AUS","Australia","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2030","2030",62.60743,,
"AUS","Australia","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2040","2040",64.75119,,
"AUS","Australia","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2050","2050",66.20941,,
"AUS","Australia","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2060","2060",67.16981,,
"AUS","Australia","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2020","2020",5.57965997228447,,
"AUS","Australia","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2023","2023",3.21562657032966,,
"AUS","Australia","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2030","2030",8.532169,,
"AUS","Australia","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2040","2040",10.67592,,
"AUS","Australia","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2050","2050",12.13415,,
"AUS","Australia","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2060","2060",13.09455,,
"AUS","Australia","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2020","2020",0.920833333333334,,
"AUS","Australia","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2023","2023",3.9275,,
"AUS","Australia","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2030","2030",5.203858,,
"AUS","Australia","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2040","2040",5.860718,,
"AUS","Australia","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2050","2050",5.792017,,
"AUS","Australia","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2060","2060",5.642297,,
"AUS","Australia","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2020","2020",0.256666666666667,,
"AUS","Australia","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2023","2023",3.98083333333333,,
"AUS","Australia","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2030","2030",4.662233,,
"AUS","Australia","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2040","2040",5.132778,,
"AUS","Australia","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2050","2050",5.106664,,
"AUS","Australia","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2060","2060",4.929968,,
"AUS","Australia","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2020","2020",5343315345018.35,,
"AUS","Australia","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2023","2023",5735824937668.77,,
"AUS","Australia","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2030","2030",6723377000000,,
"AUS","Australia","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2040","2040",8539508000000,,
"AUS","Australia","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2050","2050",10956840000000,,
"AUS","Australia","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2060","2060",14016600000000,,
"AUS","Australia","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2020","2020",-12.2454886162387,,
"AUS","Australia","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2023","2023",-0.841795027791534,,
"AUS","Australia","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2030","2030",-0.8601806,,
"AUS","Australia","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2040","2040",-0.6856758,,
"AUS","Australia","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2050","2050",-0.7530941,,
"AUS","Australia","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2060","2060",-0.6471514,,
"AUS","Australia","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2020","2020",-12.1289595305992,,
"AUS","Australia","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2023","2023",-0.156185739725681,,
"AUS","Australia","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2030","2030",0.4408859,,
"AUS","Australia","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2040","2040",1.422426,,
"AUS","Australia","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2050","2050",1.820029,,
"AUS","Australia","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2060","2060",2.131531,,
"AUS","Australia","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2020","2020",-9.83882764071897,,
"AUS","Australia","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2023","2023",-0.467027593645053,,
"AUS","Australia","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2030","2030",0.474288,,
"AUS","Australia","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2040","2040",1.422467,,
"AUS","Australia","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2050","2050",1.820029,,
"AUS","Australia","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2060","2060",2.131531,,
"AUS","Australia","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2020","2020",0.977062361889331,,
"AUS","Australia","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2023","2023",1.15255708933421,,
"AUS","Australia","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2030","2030",1.374771,,
"AUS","Australia","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2040","2040",1.75913,,
"AUS","Australia","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2050","2050",2.251834,,
"AUS","Australia","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2060","2060",2.882538,,
"AUS","Australia","POP","Total population","S0","Baseline","A","Annual","2020","2020",25655300,,
"AUS","Australia","POP","Total population","S0","Baseline","A","Annual","2023","2023",26485186.7898161,,
"AUS","Australia","POP","Total population","S0","Baseline","A","Annual","2030","2030",29519165.270408,,
"AUS","Australia","POP","Total population","S0","Baseline","A","Annual","2040","2040",33262223.138645,,
"AUS","Australia","POP","Total population","S0","Baseline","A","Annual","2050","2050",36868650.7236646,,
"AUS","Australia","POP","Total population","S0","Baseline","A","Annual","2060","2060",40291183.833075,,
"AUS","Australia","POPS","Trend total population","S0","Baseline","A","Annual","2020","2020",25557710.9953635,,
"AUS","Australia","POPS","Trend total population","S0","Baseline","A","Annual","2023","2023",26480231.7272331,,
"AUS","Australia","POPS","Trend total population","S0","Baseline","A","Annual","2030","2030",29515288.2543965,,
"AUS","Australia","POPS","Trend total population","S0","Baseline","A","Annual","2040","2040",33262094.2566493,,
"AUS","Australia","POPS","Trend total population","S0","Baseline","A","Annual","2050","2050",36868311.6720638,,
"AUS","Australia","POPS","Trend total population","S0","Baseline","A","Annual","2060","2060",40291075.0303253,,
"AUS","Australia","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2020","2020",19005777.2368507,,
"AUS","Australia","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2023","2023",19638416.0042146,,
"AUS","Australia","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2030","2030",21836958.2923166,,
"AUS","Australia","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2040","2040",24282957.0685918,,
"AUS","Australia","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2050","2050",26704923.960859,,
"AUS","Australia","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2060","2060",29066386.9859202,,
"AUS","Australia","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2020","2020",1.45395754184365,,
"AUS","Australia","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2023","2023",1.41923483512642,,
"AUS","Australia","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2030","2030",1.458608,,
"AUS","Australia","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2040","2040",1.531435,,
"AUS","Australia","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2050","2050",1.608183,,
"AUS","Australia","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2060","2060",1.688777,,
"AUS","Australia","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2020","2020",0.896571911933413,,
"AUS","Australia","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2023","2023",2.41108854839106,,
"AUS","Australia","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2030","2030",3.242527,,
"AUS","Australia","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2040","2040",4.436562,,
"AUS","Australia","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2050","2050",5.074953,,
"AUS","Australia","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2060","2060",5.306829,,
"AUS","Australia","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.31766022114771,,
"AUS","Australia","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.330565817873451,,
"AUS","Australia","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.281108613030822,,
"AUS","Australia","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.210455463255638,,
"AUS","Australia","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.139802313480454,,
"AUS","Australia","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.0691491637052704,,
"AUS","Australia","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.277434254937578,,
"AUS","Australia","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.25754146498949,,
"AUS","Australia","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.25754146498949,,
"AUS","Australia","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.25754146498949,,
"AUS","Australia","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.25754146498949,,
"AUS","Australia","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.25754146498949,,
"AUS","Australia","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.00947133310875002,,
"AUS","Australia","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.0110510652548395,,
"AUS","Australia","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.0142158762499295,,
"AUS","Australia","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.0157939831882503,,
"AUS","Australia","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.0162334875108198,,
"AUS","Australia","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.0163558898936158,,
"AUS","Australia","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0,,
"AUS","Australia","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0,,
"AUS","Australia","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0,,
"AUS","Australia","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0,,
"AUS","Australia","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0,,
"AUS","Australia","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0,,
"AUS","Australia","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.330996109685764,,
"AUS","Australia","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.316899764452535,,
"AUS","Australia","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.316899764452535,,
"AUS","Australia","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.316899764452535,,
"AUS","Australia","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.316899764452535,,
"AUS","Australia","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.316899764452535,,
"AUS","Australia","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.0345659943719832,,
"AUS","Australia","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.0358985054395065,,
"AUS","Australia","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.0461791419304089,,
"AUS","Australia","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.0513054966485319,,
"AUS","Australia","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.0527331914408996,,
"AUS","Australia","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.0531308058340176,,
"AUS","Australia","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.0167878195777417,,
"AUS","Australia","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.0278813046856417,,
"AUS","Australia","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.0469925018462764,,
"AUS","Australia","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.0795180038638006,,
"AUS","Australia","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.114064477223205,,
"AUS","Australia","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.14917379307381,,
"AUS","Australia","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.0130842664220389,,
"AUS","Australia","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.0201620780434125,,
"AUS","Australia","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.0370626382394143,,
"AUS","Australia","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.06848582434063,,
"AUS","Australia","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.102725301641472,,
"AUS","Australia","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.137749118790137,,
"AUS","Australia","TES","Total primary energy supply, terajoules","S0","Baseline","A","Annual","2020","2020",5615400.7833,,
"AUS","Australia","TES","Total primary energy supply, terajoules","S0","Baseline","A","Annual","2023","2023",5735216.14321276,,
