Country,Last ,Previous ,Reference, Unit
Malta,50.4,51.6,Dec/23,%
Mauritania,41.9,44.5,Dec/22,%
Mauritius,86,91.9,Dec/21,%
Mexico,49.4,49.6,Dec/22,%
Moldova,32.1,34,Dec/21,%
Mongolia,48,55,Dec/22,%
Montenegro,60.3,70.8,Dec/23,%
Morocco,69.7,71.6,Dec/23,%
Mozambique,101,130,Dec/22,%
Myanmar,62.5,62.3,Dec/22,%
Namibia,65.3,66.8,Dec/23,%
Nepal,41.4,40.6,Dec/22,%
Netherlands,46.8,50.1,Dec/23,%
New Zealand,35.9,29.8,Dec/22,%
Nicaragua,56.6,60.6,Dec/23,%
Niger,51.2,50.9,Dec/22,%
Nigeria,38.8,38,Dec/23,%
Norway,44.3,36.5,Dec/23,%
Oman,40.2,61.7,Dec/22,%
Pakistan,91,89,Dec/23,%
Palestine,18.5,21.3,Dec/22,%
Panama,63.66,68.47,Dec/21,%
Papua New Guinea,49.8,51.6,Dec/22,%
Paraguay,32.7,33.8,Dec/22,%
Peru,33.8,35.9,Dec/22,%
Philippines,60.9,60.4,Dec/22,%
Poland,49.6,49.2,Dec/23,%
Portugal,99.1,112,Dec/23,%
Qatar,46.9,58.4,Dec/22,%
Republic of the Congo,99.57,108,Dec/22,%
Romania,48.8,47.5,Dec/23,%
Russia,17.2,17.6,Dec/22,%
Rwanda,64.4,66.6,Dec/22,%
Sao Tome and Principe,88,96.9,Dec/21,%
Saudi Arabia,30,32.5,Dec/21,%
Senegal,75,73,Dec/22,%
Serbia,52,55.1,Dec/23,%
Seychelles,60,69,Dec/23,%
Sierra Leone,88.9,95.8,Dec/23,%
Singapore,168,160,Dec/22,%
Slovakia,56,57.7,Dec/23,%
Slovenia,69.2,72.5,Dec/23,%
South Africa,72.2,72.8,Dec/23,%
South Korea,49.6,46.9,Dec/22,%
Spain,108,112,Dec/23,%
Sri Lanka,114,100,Dec/22,%
Sudan,256,186,Dec/23,%
Suriname,117,114,Dec/22,%
Swaziland,18.91,19.06,Dec/23,%
Sweden,31.2,33.2,Dec/23,%
Switzerland,38.3,37.7,Dec/23,%
Tajikistan,30.9,34.6,Dec/23,%
Tanzania,38.3,37.9,Dec/22,%
Thailand,60.96,59.61,Dec/22,%
Togo,55.9,61,Dec/22,%
Trinidad and Tobago,53,48.5,Dec/23,%
Tunisia,79.4,79.9,Dec/22,%
Turkey,29.5,30.8,Dec/23,%
Turkmenistan,8,11,Dec/22,%
Uganda,48.6,45.5,Dec/22,%
Ukraine,84.4,78.4,Dec/23,%
United Arab Emirates,38.3,36.9,Dec/21,%
United Kingdom,97.6,95.6,Dec/23,%
United States,122,122,Dec/23,%
Uruguay,67.5,67.1,Dec/23,%
Uzbekistan,36.4,38,Dec/22,%
Venezuela,148,160,Dec/23,%
Vietnam,37.1,39.3,Dec/22,%
Yemen,66.4,66,Dec/23,%
Zambia,56.2,71.5,Dec/22,%
Zimbabwe,92.6,66.9,Dec/22,%
